title,salary,desc
 Workspace Accessibility Analyst,"Job details
Salary
$75,000 - $81,000 a year
Job Type
Full-time","Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Boulder, CO, USA; Durham, NC, USA.
Minimum qualifications:
Bachelor's degree or equivalent practical experience
2 years of experience in accessibility testing, certification from the International Association of Accessibility Professionals (IAAP), or assistive technology software and hardware certification
Experience with accessibility standards (e.g., Web Content Accessibility Guidelines (WCAG), Web Accessibility Initiative Accessible Rich Internet Applications (ARIA), and Section 508)

Preferred qualifications:
Experience in using assistive technology such as screen readers, magnification software, switch control devices, etc
Understanding of different technology needs of various groups of users with disabilities
Ability to clearly and concisely describe accessibility issues and areas for improvement with effective written and oral communication skills
About the job
The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
Our mission is to make Workspace products more accessible and usable for the users who use our products everyday. We strive to go beyond the traditional accessibility program and make Workspace a tool to help every user be more productive.
As a Program Manager, you will work with the many product teams across Workspace to realize the roadmap. This may include Gmail, Calendar, Docs, Drive, Sites, Chat, etc.
Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.
Additional Information
(Colorado only*) Minimum salary range between $75,000 - $81,000 + bonus + equity + benefits.
Note: Disclosure as required by sb19-085 (8-5-20) of the minimum salary compensation range for this role when being hired into our offices in Colorado.
Responsibilities
Provide analysis of existing accessibility bugs to better understand how they might have been caught either through automated or manual testing.
Provide accessibility assistance and training to product teams.
Advocate for users by performing and/or managing accessibility usability evaluations and ambiguous/complicated test requests.
Help teams understand what is best for the user.
Assist teams in triaging and prioritizing accessibility bugs based on compliance and usability standards.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form."
 University Program Associate (Veteran Certifying Official),0,"""Primary Purpose of the Organizational Unit:The primary purpose of the Office of External Affairs and Military Relations is to ensure university representatives interact with members of the higher education community and government officials. This office represents Fayetteville State University before the North Carolina Congressional Delegation and the United States Congress at large, the North Carolina General Assembly, and both state and federal agencies. Military Relations staff ensures the university is providing effective and efficient services through collaboration with college and campus staff, including deans, faculty, and student services personnel, as well as community stakeholders, to design and deliver high quality, innovative, and flexible support services to military-connected students.THIS POSTING IS FOR TWO IDENTICAL POSITIONS (088141 AND 088142). BY APPLYING YOU WILL BE CONSIDERED FOR BOTH AVAILABLE POSITIONS.""
Minimum Qualifications:
""Bachelor?s degree; or equivalent combination of training and experience. All degrees must be received from appropriately accredited institutions.""
Position Number:
0402142
Posting Date:
04/14/2022
Closing Date:
05/08/2022
American Recovery & Reinvestment Act Funded:"
" Program Manager, Accessibility, Google Workspace","Job details
Salary
$98,000 - $106,000 a year
Job Type
Full-time","Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Boulder, CO, USA; Raleigh, NC, USA; Durham, NC, USA.
Minimum qualifications:
Bachelor's degree or equivalent practical experience
1 year of experience in program management
Experience discussing and working with accessibility technology, UX, and testing

Preferred qualifications:
Experience working with test engineers and leading complex test efforts
Experience managing multiple, time-sensitive projects simultaneously
Experience evaluating technical trade-offs and making decisions that help teams prioritize their work and maximum user impact
Familiarity with various assistive technologies (e.g., Google Talkback, etc.)
Ability to communicate and explain technical/complex problems to a variety of audiences across engineering, product management, and testing teams
About the job
The Collaboration and Communication Accessibility Team’s mission is to make Google Workspace products more accessible and usable for users who engage with our products everyday. We strive to go beyond the traditional accessibility program and make Google Workspace a tool to help every user be more productive.
As a Program Manager, you will work with Product teams across Google Workspace to realize our goals.
The web is what you make of it and our team is helping the world make more of the web. From open-source pros to user-experience extraordinaires, we develop products that help users connect, communicate and collaborate with others. Our consumer products and cloud platforms are giving millions of users at homes, businesses, universities and nonprofits around the world the tools that shape their web experience - and changing the way they think about computing.
Additional Information
(Colorado only*) Minimum salary range between $98,000 - $106,000 + bonus + equity + benefits. *Note: Disclosure as required by sb19-085 (8-5-20) of the minimum salary compensation for this role when being hired into our offices in Colorado.
Responsibilities
Help create, manage, execute, scale, and evolve the processes that make our products universally accessible and productivity enhancing for everyone.
Work with Product teams in resolving and tracking accessibility improvements.
Manage accessibility approvals for Google Workspace launches, and troubleshoot escalations.
Manage lifecycle of accessibility bugs to ensure bugs are triaged correctly and that open bugs are still relevant.
Document and create roadmaps. Maintain up-to-date accessibility dashboards, launch dates, and exemption forms.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form."
" Program Specialist, Disaster Services","Job details
Job Type
Full-time","Please use Google Chrome or Mozilla Firefox when accessing Candidate Home.
By joining the American Red Cross you will touch millions of lives every year and experience the greatness of the human spirit at its best. Are you ready to be part of the world's largest humanitarian network?
**** As a condition of employment with American Red Cross, you are required to provide proof that you are fully vaccinated for COVID 19 or qualify for an exemption, except in states where it is prohibited by law. Accordingly, employment is conditioned on providing proof of vaccination or having an approved exemption prior to starting employment ****
Join us—Where your Career is a Force for Good!
Job Description:
Job Description:
As one of the nation’s premier humanitarian organizations, the American Red Cross is dedicated to helping people in need throughout the United States and, in association with other Red Cross networks, throughout the world. We depend on the many generous contributions of time, blood, and money from the American public to support our lifesaving services and programs. At the American Red Cross, you will enjoy a collaborative work culture committed to the diversity of our people, programs, and services. If you share our passion for helping people, join us in this excellent career opportunity.
We are seeking a Disaster Program Specialist to support our North Carolina Region. This position is full time and will support Raleigh.

The Disaster Program Specialist (DPS) will provide functional support to Disaster Program Manager and Leadership at a regional level or take full cycle responsibility to provide service delivery programs within a defined geography. The DPS will support the Disaster Program Manager and volunteer workforce to support local communities by providing services to include but are not limited to: response to recurrent local disasters (house fires, floods, etc.), capacity building for mass care service delivery, participation in the Home Fire Campaign, and direct assistance and recovery services to those impacted by disasters.
In addition, the DPS will develop, guide, and support team of trained volunteers, as well as implement and develop initiatives to increase Red Cross visibility through program/service delivery of disaster preparedness, response, and recovery programs. Provide support, development and/or leadership guidance to all volunteers.

Responsibilities:

1: Facilitate and support the development and implementation of strategies, initiatives, tools, plans, processes and procedures within a functional area, or, through the development of volunteer leadership, oversee the implementation of the full disaster cycle of an assigned sub-territory. Functional areas may include: Mass Care, Client Casework, Health & Mental Health Services, Logistics, Information Management & Situational Awareness, Partnerships & Emergency Management, Workforce Development, Preparedness, General Volunteer Support & Engagement, or Home Fire Campaign.

2: Analyze opportunities for improved program service and make recommendations for implementation. Implement assigned programs or services to meet goals.

3: Support local preparation, response and recovery activities as well as maintain government partnerships with assigned territory. Assist with a broader division and national network of disaster responders and help with deployments and relief operation activity outside immediate region. This may include physical deployment to impacted communities.

4: Engage and develop a volunteer team responsible for the implementation of disaster preparedness, response, and recovery programs in the local area. Ensure the development of leadership volunteers in each of the assigned program support functional areas of the disaster cycle in order to meet the needs of the assigned geography.

5: Support local responses through the deployment of volunteer leaders on a daily basis in a rapid and accessible manner. Qualified and experienced volunteer leaders should be placed in key roles first. If volunteer leadership is unavailable, may service during times of disaster. Participate in local planning, exercises, and training, including exercises called by local partners Volunteer Organizations Active in Disaster, Emergency Management Agencies and Local Emergency Planning Committees (VOADs, EMAs and LEPCs). May evaluate and report effectiveness of program or service. Prepare recommendations for continuous improvement.

6: Serve as the Red Cross thought leader as needed with local level with government and other agencies and organizations involved in disaster. Key representative of Red Cross in the community, interfacing with local officials and developing plans with community leaders. Ensure activities are in compliance with regional and national procedures and policies.

Qualifications:

Education: Bachelor's degree required.

Experience: Minimum 3 years of experience with social services or service/program delivery, or equivalent combination of education and related experience required.
Management Experience: n/a

Skills & Abilities: Ability to coordinate staff and volunteer activities. Excellent interpersonal, verbal and written communication skills. Develop project plans & budgets. Demonstrate in-depth knowledge of program or service, ability to create presentations and training modules, and strategies to achieve organizational goals. Demonstrated analytical and decision- making skills to interpret program trends, results, formulate recommendations, and develop creative processes for continuous program or service improvements. Proven track record of collaboration with diverse groups and individuals, managing multiple priorities, facilitation, problem solving, marketing, leadership, and partnership management. Additionally, this position requires ability for planning, public speaking, project management and process improvement. Individual must be customer oriented, organized, and able to operate with an orientation toward solutions with an external focus, and team orientation. Intermediate level proficiency with MS Office software, including Word, Excel, PowerPoint and Outlook. Familiarity with federal, state, and local employment laws. Must be able to perform all assigned responsibilities under “grey sky” requirements. Ability to work in a matrixed environment and on a team.

Travel: Travel may be required.

Physical Requirements: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. While performing the duties of this Job, the employee is regularly required to sit; use hands to handle or feel; and talk or hear. The employee is frequently required to reach with hands and arms. The employee is occasionally required to stand; walk and stoop, kneel, crouch, or crawl. The employee must frequently lift and/or move up to 15 pounds and occasionally lift and/or move up to 30 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception and ability to adjust focus. The work environment will consist of moderate noise (i.e. business office with computers, phones and printers, light traffic). The employee must have the ability to work in a small cubicle and have the ability to sit at a computer terminal for an extended period of time.

Click the link below to see the full posting and apply to join our team:
Apply now! Joining our team will provide you with the opportunity to make a difference every day.
The American Red Cross is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.
Interested in Volunteering?
Life’s emergencies don’t stop, and neither do American Red Cross volunteers, who represent more than 90 percent of our workforce to help prevent and alleviate human suffering. You can make a difference by volunteering in a position that appeals to you and allows you to use your unique skills and talents. The Red Cross relies on generous volunteers who give their time and talent to help fulfill our lifesaving mission.
Visit
redcross.org/volunteertoday
to learn more, including our most-needed volunteer positions.
To view the EEOC Summary of Rights, click here:
Summary of Rights"
 Admin Support Associate,"Job details
Salary
$31,200 - $37,492 a year
Job Type
Full-time","Posting Information
Department
African Afrl-Amer and Diaspora-315200

Career Area
Administrative/Clerical Support

Is this an internal only recruitment?
No

Posting Open Date
03/02/2022

Application Deadline
05/12/2022

Position Type
Permanent Staff (SHRA)

Position Title
Admin Support Associate - Journey

Salary Grade Equivalent
GN04

Working Title
Admin Support Associate

Position Number
00033389

Vacancy ID
P014627

Full-time/Part-time Permanent/Time-Limited
Full-Time Permanent

If time-limited, estimated duration of appointment

Hours per week
40

Work Schedule
M-F; 8-5
This position may be eligible for hybrid or remote work.

Work Location
Chapel Hill, NC

Position Location
North Carolina, US

Hiring Range
$31,200-$37,492

Pay Band Information
To learn more about the pay band for this branch and role, please see the Career Banding rates spreadsheet.

Position Summary Information
Primary Purpose of Organizational Unit
The goal of African, African American, and Diaspora Studies at UNC-Chapel Hill is to give specific attention to the histories, cultures, cultural linkages, and contemporary socio-political realities of the peoples of Africa and the African Diasporas. We encourage majors to consider studying abroad in one of the expanding number of programs in Africa or the Atlantic African Diaspora.
The Department of African, African American, and Diaspora Studies is an interdisciplinary and transnational program leading to the Bachelor of Arts degree. The major offers two areas of concentration: African Studies and African American and Diaspora Studies.
The degree offered is Bachelor of Arts in African, African American, and Diaspora Studies, with a concentration either in African Studies or African American and Diaspora Studies. Minors in African Studies or African American and Diaspora Studies are also offered.
The skills and perspectives of African, African American, and Diaspora Studies provide an excellent background for students considering careers in international development, education, business, government, or diplomacy.
Students concentrating in African, African American, and Diaspora Studies go on to a wide variety of managerial, teaching, and research positions. Other careers for which the major is excellent preparation include law, the foreign service, various positions in government, communications, social work, community development, and public administration.
The Department of African, African American, and Diaspora Studies supports the University’s core values encouraging diversity and equal educational and employment opportunities throughout the University community.’

Position Summary
The primary work function of this position is to act as the department’s liaison to the University Registrar’s Office, inputting the department’s teaching schedule to ConnectCarolina. This position is also in charge of collecting, and inputting data requested by the Chair, Director of Undergraduate Studies, and Summer School Administrator; and will adhere to university, state, and federal confidentiality regulations.

The secondary function of the Administrative Support Associate position is to act as general administrative support to the department Chair, Director of Undergraduate Studies, the Business Manager, Summer School Administrator, and faculty. These responsibilities include but are not limited to assisting faculty with printing and photocopying, and coordinating maintenance for the photocopier, printers, etc.; providing logistical support for the department’s monthly faculty colloquium, faculty meetings, commencement ceremony, and department conferences and public lectures, including making room reservations and assisting with catering orders for events as needed. Further, the Administrative Support Associate serves as the department’s communication coordinator, and as such they are responsible for answering the main telephone line, greeting visitors, and routing requests for information to appropriate persons; maintaining the department listserv; assisting with maintenance of the department website; and coordinating other departmental communications activities.

Minimum Education and Experience Requirements
High school diploma or equivalency; or demonstrated possession of the competencies necessary to perform the work.

Required Qualifications, Competencies, and Experience
The successful candidate for this position must be an independent self-starter possessing excellent organizational skills with the ability to prioritize and meet deadlines. Must have strong interpersonal skills, excellent verbal and written communication skills and must possess an excellent attention to detail. Must have the ability to multi-task to successfully balance the demands of this position as well as successfully interact with the staff of affiliated programs and relevant campus units.

Preferred Qualifications, Competencies, and Experience
Experience in a University setting is preferred. Experience in UNC systems and knowledge of institutional procedures is highly preferred.

Required Licenses/Certifications

Special Physical/Mental Requirements

Campus Security Authority Responsibilities
This position is designated as a Campus Security Authority in accordance with the Clery Act. This position will be required to report Clery crimes to the Clery Compliance Manager and complete annual training about reporting responsibilities.

Position/Schedule Requirements

Special Instructions

Quick Link
https://unc.peopleadmin.com/postings/223866"
 Tissue Typing Specialist,0,"Overview
Job Summary
Performs and supervises routine, complex, and special Laboratory procedures. Recognizes unusual results and difficulties while performing, supervising, or implementing procedures and makes required corrections. Teaches others the performance of routine and special procedures. Monitors for quality, efficiency, and safety in the performance of technical functions and for the proper handling of specimens, supplies and equipment.


Essential Functions

Updates procedures in the section policy and procedure manuals.
Assesses the urgency of a test and uses this assessment to prioritize the workload.
Analyzes test results for critical values and immediately reports and documents.
Prepares specimens for testing, verifies patient identification on samples and requests before testing, and applies rules of specimen rejection and arranges for recollection.
Uses and maintains equipment and instruments used in test performance and in work area. Performs minor troubleshooting.
Prepares reagents for test performance.
Calculates, reports, and records test results with accuracy.
Physical Requirements
Works in a busy environment around physicians, technologists, and other hospital teammates. Works in an area which contains biohazardous (infectious) materials along with chemical, fire, and mechanical hazards. May be required to stoop, reach and lift light (20 pound) to moderately heavy (50 pound) loads.

Education, Experience and Certifications

Bachelor's degree in life sciences required. Master's degree, ASCP or ABHI Registered Technologist with a minimum of 2 years of experience in histocompatibility testing or flow cytometry preferred."
 Lead WIC Nutritionist-Moncure (English/Spanish speaking pref...,"Job details
Job Type
Full-time","Lead WIC Nutritionist
Carrboro Community Health Center
English/Spanish Speaking Preferred
Full-Time with Benefits
JOB SUMMARY:
Performs a variety of responsible tasks involving nutrition assessments and counseling of individuals and families in nutrition principals, diet, food selection, and economics focusing on WIC clients. Supervises WIC clinic Administrative Assistants, a Breastfeeding Peer Counselor, and other Nutritionists on site. Opportunity to provide nutrition counseling for gestational diabetes. Conducts evaluations and audits on WIC staff based on the local and state policies and procedures. Will gain experience communicating and working closely with an interdisciplinary leadership team. Communicates with other management and leadership staff, and community agencies and members to support the needs of the patient and the program. Overall this is an excellent opportunity to make a difference in the lives of women, infants, and children.
Piedmont Health offers a very competitive benefits package including 11 paid holidays, generous PTO plan, and more. RDs are offered $250 for continuing education to be used to support furthering their skill set of their choosing. WIC also provides many free opportunities to gain CEU credits in addition to the $250 offered by Piedmont Health.
MINIMUM QUALIFICATIONS:
Registered Dietitian with the Commission on Dietetics Registration; or Master's degree in Dietetics, Public Health Nutrition, or Nutrition; or graduation from a Commission on Accreditation for Dietetics Education- approved Didactic Program in Dietetics and two years nutrition experience; or Dietetic Technician, Registered with the Commission on Dietetics Registration with a Bachelor's degree in any subject area from an accredited four-year college or university and two years nutrition experience; or a Bachelor's of Science degree in Dietetics, Public Health Nutrition or Community Nutrition from an accredited four-year college or university and two years nutrition experience. Spanish fluent preferred.
PATIENT POPULATION SERVED:
Ethnically and racially diverse population of pregnant, breastfeeding, postpartum women, infants, and young children and all family members. Primarily Spanish speaking.

PHYSICAL DEMANDS/ WORKING CONDITIONS:
Requires frequent sitting for long periods, operation of standard office machines and computer. May require lifting of up to 25 pounds. Requires hand-eye coordination and manual dexterity. Requires use of office equipment, such as computer terminals, telephones or copiers. Requires normal vision range. Work is performed in an office environment. Contact with staff and external clients and vendors."
 Administrator Specialist-FP PAC operations pay,"Job details
Job Type
Full-time
Per diem","Description
Become part of an inclusive organization with over 40,000 diverse employees, whose mission is to improve the health and well-being of the unique communities we serve.
Summary:
Performs duties of an Administrative Associate but with some authority to step outside confines of established procedures. They are also considered the subject matter authority in the administrative area for the department/clinic. This position qualifies for a $3,000 commitment incentive, paid in six (6) installments over a three (3) year commitment. Payment is made after each six (6) month period of work completed. Learn more here: https://jobs.unchealthcare.org/pages/unc-medical-center-unc-faculty-physicians-outpatient-commitment-incentive-program
$3,000 paid over a three (3) year commitment period. Payment is spread over a 3-year period in six(6) installments. Payment is made after each six (6) month period of work is completed.
Admin Assoc
Admin Coord
Admin Spec
This position qualifies for a $1,000 commitment incentive, paid in six (6) installments over a three (3) year commitment. Payment is made after each six (6) month period of work completed. Learn more here: https://jobs.unchealthcare.org/pages/unc-medical-center-unc-faculty-physicians-outpatient-commitment-incentive-program
$1,000 paid over a six (6) month commitment period. Payment is made in one (1) installment after the first six (6) month period of work is completed.
Admin Associate (Per Diem)
Admin Rep (Per Diem)
Admin Specialist (Per Diem)
Responsibilities:

1. Assisting in developing budgets, monitoring expenditures, and reconciling financial statements. Investigating discrepancies and processing corrective actions.
2. Coordinating and completing special projects independently or in cooperation with other groups as assigned.
3. Determines administrative needs and making arrangements for conferences, meetings, seminars or other related activities.
4. Extracting and compiling data from written sources, individuals, and/or databases and providing interpretation.
5. Managing departmental information systems.
6. Preparing complex databases, reports, charts, graphs, spreadsheets at designated intervals as requested. Composing formal correspondence and documents for internal or external circulation.
7. Serving as point person for all complex customer service and administrative issues. Interpreting and communicating policies/procedures to other parties based on knowledge of the organization and departmental guidelines. Routinely providing guidance and direction to lower-level staff. Assists with screening applications and conducting initial interviews of entry-level staff as needed. Investigate patient and provider complaints and provide reports with root causes and service recovery.

Other Information
Other information:
Education Requirements:
High School diploma or GED
Licensure/Certification Requirements:
No licensure or certification required.
Professional Experience Requirements:
Two (2) years of clerical or administrative experience
If Bachelor's degree, no years of clerical or administrative experience
If Associate's degree, one (1) year of clerical or administrative experience
Knowledge/Skills/and Abilities Requirements:
Customer Focus: makes the customer and their needs their top priority and goes the extra mile to satisfy their customers. Demonstrates the ability to resolve customer problems. Technical expertise: understands the technical aspects of one’s job. Effectively uses Microsoft office products in order to produce reports and documents. Demonstrates the ability to learn and master the scheduling system as appropriate Coachability: Receptive to feedback, willing to learn and embraces continuous improvement Accountability: Manages performance to meet expected results. Works to meet the internal/external customer requirements. Fiscal responsibility: Understands the insurance process and seeks to make the best decision/referral in the interest of the customer. Understands the relationship of the budget and resources to the strategic plan. Coaching: Shares information, advice and suggestions to help others to be more successful. Provides appropriate support and acts as a resource depending on the situation and capabilities of the employee. Conflict Resolution: Uses appropriate interpersonal styles and methods to reduce tension or conflict between two or more people. Finds agreement on issues and follows through on implementation Solving Problems: Uses logic and intuition to arrive at decisions or solutions to problems that achieve the desired outcome.

Job Details
Legal Employer: STATE
Entity: UNC Faculty Physicians

Organization Unit: FP PAC operations pay
Work Type: Full Time

Standard Hours Per Week: 40.00
Work Schedule: Day Job
Location of Job: US:NC:Chapel Hill
Exempt From Overtime: Exempt: No"
 Human Resources Operations Specialist,0,"The Human Resources Operations Specialist will be responsible for providing Kenan-Flagler Business School with competent, dependable and timely operations support. This position will be responsible for independently managing key HR processes, including faculty and staff HR actions, independent contractor requests, and funding actions. This position also serves as the HR Liaison for Kenan-Flagler with central campus partners. This position supports other members of the HR team during peak seasons. The position is responsible for applying, communicating and utilizing best practices in human resources, including familiarity with University, State and federal policies related to human resources. This position reports to the Associate Director, Human Resources.
Minimum Qualifications:
Bachelor's degree; or equivalent combination of training and experience. All degrees must be received from appropriately accredited institutions.
Position Number:
P015053
Posting Date:
04/29/2022
Closing Date:
05/09/2022
American Recovery & Reinvestment Act Funded:
No"
 Child Support Services Agent,"Job details
Salary
$20.19 - $25.00 an hour","What You'll Be Doing

Wake County Child Support Services partners with custodial parents, caretakers, non-custodial parents, and other state agencies to secure financial and medical support for families and children. Through the location of parents; establishment of paternity and support obligations; and the enforcement and modification of support obligations, the Program promotes family self-sufficiency and child well-being. Child Support Services strives to accomplish the goal of economic self-sufficiency for families by consistently collecting millions of dollars for the benefit of the children we serve.

We seeking a highly organized professional who is dependable, customer friendly, detailed oriented, and flexible, team player to join our team as a Child Support Services Agent/Enforcement. This position provides comprehensive case management to parents in need of child support services.

Primary job functions include:
Managing a caseload of 500+ cases
Performing investigative work of a sensitive and confidential nature, locating non-custodial parents and establishing paternity
Interviewing and negotiating with program participants, researching and verifying income, assets, and expense information to ensure proper charging and distribution of support
Preparing and presenting cases in Court, including testifying as a witness as appropriate and attending hearings
Processing cases to establish, modify, or enforce child support orders, and resolve account discrepancies
Attaining and maintaining knowledge of, and compliance with, program policies, procedure and regulations governing the program

NOTE: Wake County Health and Human Services employees are required to be in their current role for a minimum of one (1) year to be eligible to apply for another Human Services position. Upon acceptance of employment you acknowledge that (i) you will rescind your application for any other positions within Wake County Health and Human Services, (ii) after accepting your position with Wake County Health and Human Services you must remain in your role for one (1) year before you are eligible to apply for another position within Wake County Health and Human Services, (iii) if you work in the Health Clinics and Public Health Division, influenza immunization is a condition of initial and continued employment, subject to compliance with federal law.

About Our Team

Wake County Health and Human Services (WCHHS) is the consolidation of programs and services that include social services, public health, job search assistance, child support, and transportation. Our mission, in partnership with the community, is to facilitate full access to high quality and effective health and human services for Wake County residents. In addition to our numerous standard programs, Wake County Health and Human Services (WCHHS) is engaged in a number of special initiatives that are impacting services and programs throughout our entire agency. Whether legislated down from the changing regulations on the Federal or State level or bubbling up from the entrepreneurial spirit of our staff, you can always look forward to WCHHS implementing new and exciting enhancements to our services and programs.

The Basics (Required Education and Experience)
Bachelor's degree
Two years of job-related experience
Equivalent education and experience are accepted
Beyond the Basics (Preferred Education and Experience)

Two years of experience in either Child Support Program case management
Corrections, Probation/Parole case management, or
Investigative, Legal, or Debt Collections case management, and
Experience with ACTS, NCFast, OLV, and MS Office Software

How Will We Know You're 'The One'?
Knowledge of Child Support Programs, related laws and legal procedures, judicial operations, program policies and laws
Considerable knowledge of interview and investigative techniques and procedures
The ability to analyze and evaluate case variables for the recommendation of appropriate actions as dictated by policy, laws, and rules governing the Child Support Program
The ability to establish and maintain effective working relationships with program participants and partner agencies, including but not limited to, the offices of the Clerk of Court, Magistrates, District Attorney, Sheriff, other court officials and private attorneys
The ability to learn and utilize the Automated Collections and Tracking System (ACTS) to carry out the duties of the position within required time frames
The ability to patiently and professionally assist demanding or emotional clientele, and provide customer focused services in a fast-paced work environment
The ability to multi-task and produce quality work, paying close attention to detail
Highly organized with the ability to communicate clearly and concisely, complicated and/or sensitive information
About This Position

Location: Waverly F. Akins Wake County Office Building Raleigh, NC 27602

Employment Type: Regular

Work Schedule: Mon. - Fri. 8:30 a.m. - 5:15 p.m.

Hiring Range: $20.19 - $25.00 commensurate with experieince

Posting Closing Date: 7:00 pm on 5/10/2022

What Makes Wake Great
Equal Opportunity Statement
Background Check Statement
Emergency Service Worker Statement"
